par_id,codigo_1,codigo_2,municipio,establecimiento_1,establecimiento_2,similitud_nombre,direccion,jornada,plan,decision,justificacion
1,13-27-0068-46,13-27-7032-46,Aguacatán,"COLEGIO PRIVADO ""EL NUEVO MILLENIUM""",COLEGIO PRIVADO EL NUEVO MILLENIUM,100.0,"3A. AVENIDA 3-01, ZONA 1",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
2,13-27-0066-46,13-27-0085-46,Aguacatán,INSTITUTO MAYANCE AGUACATECO,INSTITUTO MAYANCE AGUACATECO,100.0,4TA CALLE 3-35 ZONA 3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
3,01-14-0213-46,01-14-0220-46,Amatitlán,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JUAN BAUTISTA,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JUAN BAUTISTA,100.0,1RA Y 2DA CALLE LOTE 33 A COLONIA SAN JUAN BAUTISTA II,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
4,01-14-0016-46,01-14-0018-46,Amatitlán,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,96.15,"2A. AVENIDA, 12-44 CANTON SAN ANTONIO",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
5,01-14-0141-46,01-14-8051-46,Amatitlán,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',100.0,"3A. AVENIDA 2-45, COLONIA VILLA ALBORADA",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
6,01-14-0135-46,01-14-0136-46,Amatitlán,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,100.0,4 AVENIDA 10-57,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
7,01-14-0050-46,01-14-0052-46,Amatitlán,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,100.0,"4A. AVENIDA 10-57, CANTON EL ROSARIO",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
8,01-14-0058-46,01-14-0189-46,Amatitlán,COLEGIO MIXTO CULTURA,COLEGIO MIXTO CULTURA,100.0,4A. AVENIDA 5-34,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
9,01-14-0225-46,01-14-0226-46,Amatitlán,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,5A. AVENIDA FINAL BARRIO EL INGENIO,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
10,01-14-0082-46,01-14-0083-46,Amatitlán,LICEO MIXTO AMATITLANECO,LICEO MIXTO AMATITLANECO,100.0,"5A. CALLE, 3-73, BARRIO LA CRUZ",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
11,01-14-9722-46,01-14-9724-46,Amatitlán,INSTITUTO TECNICO VOCACIONAL PRIVADO AMATITLANECO,INSTITUTO TECNICO VOCACIONAL PRIVADO AMATITLANECO,100.0,9A. CALLE 4-74 BARRIO EL ROSARIO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
12,01-14-6830-46,01-14-7163-46,Amatitlán,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM,100.0,CALZADA ASIOLE 10-55,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
13,03-01-1228-46,03-01-1229-46,Antigua Guatemala,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,100.0,2A. CALLE ORIENTE NO. 22,MATUTINA,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
14,03-01-0102-46,03-01-0134-46,Antigua Guatemala,COLEGIO LICEO ANTIGUEÑO,COLEGIO LICEO ANTIGÜEÑO,100.0,3A. CALLE ORIENTE NO.11,DOBLE,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
15,03-01-0052-46,03-01-0271-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCIÓN NOCTURNA,100.0,5A. CALLE ORIENTE NO.17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
16,03-01-0052-46,03-01-0272-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,100.0,5A. CALLE ORIENTE NO.17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
17,03-01-0052-46,03-01-1402-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,100.0,5A. CALLE ORIENTE NO.17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
18,03-01-0271-46,03-01-0272-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCIÓN NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,100.0,5A. CALLE ORIENTE NO. 17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
19,03-01-0271-46,03-01-1402-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCIÓN NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,100.0,5A. CALLE ORIENTE NO. 17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
20,03-01-0272-46,03-01-1402-46,Antigua Guatemala,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,100.0,5A. CALLE ORIENTE NO. 17,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
21,03-01-0230-46,03-01-1425-46,Antigua Guatemala,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,100.0,"9A. CALLE ORIENTE NO. 13 ""A"",",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
22,03-01-1035-46,03-01-1304-46,Antigua Guatemala,COLEGIO MIXTO POLITECNICO PEDAGOGICO,COLEGIO MIXTO POLITECNICO PEDAGOGICO,100.0,ALDEA SAN GASPAR VIVAR NO.1,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
23,03-01-1343-46,03-01-1344-46,Antigua Guatemala,COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL,COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL,100.0,CALLE ANCHA DE LOS HERREROS CALLEJON EL COPANTE NO. 133,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
24,03-01-0151-46,03-01-0152-46,Antigua Guatemala,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,100.0,CALLE ANCHA NO. 86,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
25,03-01-0129-46,03-01-0167-46,Antigua Guatemala,INSTITUTO TECNOLOGICO EMPRESARIAL,INSTITUTO TECNOLOGICO EMPRESARIAL,100.0,CALLE CHIPILAPA NO. 11,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
26,03-01-0158-46,03-01-0164-46,Antigua Guatemala,"CENTRO ACADEMICO ""NUESTRA EXCELENCIA"" CANE","CENTRO ACADEMICO ""NUESTRA EXCELENCIA"" (CANE)",100.0,CALLE DE BELEN NO. 18,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
27,03-01-0189-46,03-01-0284-46,Antigua Guatemala,COLEGIO INNOVACION EDUCATIVA,COLEGIO INNOVACION EDUCATIVA,100.0,CALLE DE LA AZOTEA NO. 23,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
28,03-01-1017-46,03-01-1297-46,Antigua Guatemala,LICEO TERESA DE AVILA,LICEO TERESA DE AVILA,100.0,CALLE DE LAS ANIMAS N. 5,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
29,03-01-1335-46,03-01-1336-46,Antigua Guatemala,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,100.0,CALLE REAL DE SAN BARTOLOME BECERRA,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
30,03-01-0296-46,03-01-0299-46,Antigua Guatemala,COLEGIO INFANTIL MIS PRIMEROS TRAZOS,COLEGIO INFANTIL MIS PRIMEROS TRAZOS,100.0,CALLE REAL DE SAN FELIPE DE JESUS NO. 7 A,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
31,03-01-1158-46,03-01-1293-46,Antigua Guatemala,INSTITUTO DE COMPUTACION INFORMATICA,INSTITUTO DE COMPUTACION INFORMATICA,100.0,KILOMETRO 1.5 CARRETERA A CIUDAD VIEJA,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
32,22-05-0056-46,22-05-0057-46,Asunción Mita,"INSTITUTO PARTICULAR MIXTO ""MARÍA CHINCHILLA""","INSTITUTO PARTICULAR MIXTO ""MARÍA CHINCHILLA""",100.0,BARRIO LA FEDERAL,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
33,22-07-2324-46,22-07-2439-46,Atescatempa,COLEGIO PARTICULAR MIXTO SAN CRISTOBAL,COLEGIO PARTICULAR MIXTO SAN CRISTOBAL,100.0,ALDEA SAN CRISTOBAL FRONTERA,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
34,12-17-0019-46,12-17-1150-46,Ayutla,"INSTITUTO PARTICULAR MIXTO ""TECUN UMAN""","INSTITUTO PARTICULAR MIXTO ""TECUN UMAN""",100.0,2A. AVENIDA Y 3A. CALLE ZONA 1 CIUDAD TECUN UMAN,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
35,12-17-0029-46,12-17-0037-46,Ayutla,"INSTITUTO PRIVADO MIXTO ""SAN LORENZO""",INSTITUTO PRIVADO MIXTO SAN LORENZO,100.0,ALDEA ZANJON SAN LORENZO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
36,06-02-0085-46,06-02-1998-46,Barberena,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",100.0,"4A. AVENIDA 1-074, ZONA 1",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
37,06-02-0084-46,06-02-0102-46,Barberena,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","INSTITUTO TECNOLÓGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",100.0,"4A. AVENIDA 1-074, ZONA 1",NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
38,06-02-0032-46,06-02-0469-46,Barberena,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,100.0,"4A. CALLE 8-36, ZONA 1",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
39,06-02-0037-46,06-02-0079-46,Barberena,"LICEO ""SAN ANTONIO""","LICEO ""SAN ANTONIO""",100.0,"LOTE 30, SECTOR EL CAMPO ALDEA FRAY BARTOLOMÉ DE LAS CASAS",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
40,19-07-0019-46,19-07-0021-46,Cabañas,LICEO MIXTO EBENEZER,LICEO MIXTO EBENEZER,100.0,"BARRIO SAN SEBASTIAN,",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
41,09-06-0039-46,09-06-0040-46,Cabricán,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,ALDEA LOS CORRALES,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
42,16-14-0115-46,16-14-0116-46,Chahal,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,CASERÍO XALAJA CHIVITZ,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
43,13-02-0216-46,13-02-0217-46,Chiantla,COLEGIO INTEGRAL HUMANISTICO CHIANTLECO,COLEGIO INTEGRAL HUMANISTICO CHIANTLECO,100.0,CANTON LA LAGUNITA ZONA 3,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
44,10-13-0049-46,10-13-0051-46,Chicacao,COLEGIO PRIVADO MIXTO PAMAXÁN,COLEGIO PRIVADO MIXTO PAMAXÁN,100.0,"1A. CALLE 1-48 ZONA 1, BARRIO REAL SAMUC",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
45,10-13-0039-46,10-13-0040-46,Chicacao,"COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""","COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""",100.0,ALDEA NAHUALATE,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
46,14-19-0084-46,14-19-0085-46,Chicaman,"""COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMÁN""","""COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMÁN""",100.0,3A. CALLE 3-30 ZONA 2,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
47,04-01-0253-46,04-01-0304-46,Chimaltenango,"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)","ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)",100.0,1A. AVENIDA 1-251 LA ALAMEDA ZONA 9,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
48,04-01-0128-46,04-01-0171-46,Chimaltenango,LICEO NUEVA GENERACION,LICEO NUEVA GENERACIÓN,100.0,1A. AVENIDA 4-52 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
49,04-01-0141-46,04-01-0197-46,Chimaltenango,COLEGIO BLESS,COLEGIO BLESS,100.0,1A. CALLE 9-307 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
50,04-01-2699-46,04-01-2997-46,Chimaltenango,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""","LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",100.0,2A. CALLE 1-73 ZONA 2,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
51,04-01-0214-46,04-01-2996-46,Chimaltenango,LICEO CIENTÍFICO TECNOLÓGICO EN-GADI,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",100.0,2A. CALLE 1-73 ZONA 2,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
52,04-01-0180-46,04-01-0238-46,Chimaltenango,"INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""","INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""",100.0,2A. CALLE 2-45 ZONA 4,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
53,04-01-0232-46,04-01-0245-46,Chimaltenango,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,100.0,"2A. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
54,04-01-2941-46,04-01-2942-46,Chimaltenango,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,100.0,2A. CALLE 4-70 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
55,04-01-2747-46,04-01-2934-46,Chimaltenango,"COLEGIO MIXTO ""SANTA ANA""","COLEGIO MIXTO ""SANTA ANA""",100.0,2A. CALLE 5-52 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
56,04-01-0264-46,04-01-0266-46,Chimaltenango,COLEGIO GABRIEL G&R,COLEGIO GABRIEL G&R,100.0,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,DOBLE,A DISTANCIA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
57,04-01-0152-46,04-01-0153-46,Chimaltenango,CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH.NO. 2),CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2),100.0,3A. CALLE 6-125 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
58,04-01-2767-46,04-01-2811-46,Chimaltenango,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,100.0,4A. AVENIDA 5-80 ZONA 2,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
59,04-01-0300-46,04-01-0301-46,Chimaltenango,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,100.0,5A. AVENIDA 1-45 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
60,04-01-0129-46,04-01-3173-46,Chimaltenango,INSTITUTO EVANGÉLICO AMÉRICA LATINA,INSTITUTO EVANGÉLICO AMÉRICA LATINA,100.0,6A. AVENIDA 3-48 ZONA 5,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
61,04-01-2900-46,04-01-2901-46,Chimaltenango,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,100.0,"6A. AVENIDA Y 1A. CALLE, NO. 126 ZONA 5",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
62,04-01-2827-46,04-01-3018-46,Chimaltenango,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH. """,100.0,8A. AVENIDA 3-59 ZONA 2,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
63,04-01-0199-46,04-01-2294-46,Chimaltenango,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",100.0,8A. AVENIDA 3-59 ZONA 2,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
64,04-01-3253-46,04-01-3254-46,Chimaltenango,INSTITUTO TECNICO INDUSTRIAL,INSTITUTO TECNICO INDUSTRIAL,100.0,"9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS",MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
65,04-01-0285-46,04-01-0287-46,Chimaltenango,COLEGIO DEL FUTURO,COLEGIO DEL FUTURO,100.0,KM. 2.5 CARRETERA A SAN MARTÍN JILOTEPEQUE,DOBLE,A DISTANCIA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
66,04-01-0286-46,04-01-0288-46,Chimaltenango,COLEGIO DEL FUTURO,COLEGIO DEL FUTURO,100.0,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE,DOBLE,SEMIPRESENCIAL,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
67,01-06-0017-46,01-06-0020-46,Chinautla,LICEO MIXTO CRISTIANO REMANENTE ESCOGIDO,LICEO MIXTO CRISTIANO REMANENTE ESCOGIDO,100.0,1A. AVENIDA Y 7A. AVENIDA LOTES 12 Y 14 COLONIA RICH,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
68,01-06-0084-46,01-06-0085-46,Chinautla,INSTITUTO NACIONAL MARIA BELEN MEDRANO GARCIA,INSTITUTO NACIONAL MARIA BELEN MEDRANO GARCIA,100.0,"1ERA. AVENIDA SECTOR 3, COLONIA NUEVA",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
69,01-06-0061-46,01-06-0062-46,Chinautla,INSTITUTO NACIONAL PC. BRENDA ELIZABETH DEL CID MEDRANO,INSTITUTO NACIONAL PC. BRENDA ELIZABETH DEL CID MEDRANO,100.0,ALDEA EL DURAZNO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
