par_id,codigo_1,codigo_2,municipio,establecimiento_1,establecimiento_2,similitud_nombre,direccion,jornada,plan,decision,justificacion
976,07-01-0151-46,07-01-0152-46,Sololá,LICEO PROFESIONAL LAS AMERICAS,"LICEO PROFESIONAL ""LAS AMERICAS""",100.0,CASERIO CENTRAL CANTON EL TABLON,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
977,07-01-0121-46,07-01-0149-46,Sololá,CENTRO EDUCATIVO DE FORMACIÓN PROFESIONAL -CEFPRO-,CENTRO EDUCATIVO DE FORMACION PROFESIONAL CEFPRO,100.0,"CASERÍO COXOM, ALDEA SAN JUAN ARGUETA",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
978,03-04-0005-46,03-04-0026-46,Sumpango,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,100.0,0 CALLE 9-33 ZONA 3,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
979,03-04-0005-46,03-04-0060-46,Sumpango,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,100.0,0 CALLE 9-33 ZONA 3,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
980,03-04-0026-46,03-04-0060-46,Sumpango,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,100.0,0 CALLE 9-33 ZONA 3,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
981,12-07-0205-46,12-07-0225-46,Tacaná,"COLEGIO CRISTIANO BILINGUE ""BLUE-SKY""","COLEGIO CRISTIANO BILINGUE ""BLUE-SKY""",100.0,1RA.AVENIDA ZONA 1,MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
982,12-07-0233-46,12-07-0258-46,Tacaná,"COLEGIO EVANGÉLICO C.A. ""ALFA Y OMEGA""","COLEGIO EVANGELICO C.A. ""ALFA Y OMEGA""",100.0,"2DA. AVENIDA, ZONA 2",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
983,12-07-0213-46,12-07-0214-46,Tacaná,"INSTITUTO TECNOLÓGICO ""ESPERANZA""","INSTITUTO TECNOLÓGICO ""ESPERANZA""",100.0,"CANTÓN LA ESPERANZA, ALDEA TUICOCHE",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
984,04-06-0636-46,04-06-2678-46,Tecpán Guatemala,INSTITUTO PARTICULAR MIXTO TECPANECO DE EDUCACION MEDIA,INSTITUTO PARTICULAR MIXTO TECPANECO DE EDUCACION MEDIA,100.0,1 CALLE 2-39 ZONA 4.,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
985,04-06-3151-46,04-06-3152-46,Tecpán Guatemala,COLEGIO EVANGELICO ISRAEL,COLEGIO EVANGELICO ISRAEL,100.0,1A. CALLE 2-39 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
